Population,Line,Pot,Photoperiod,Germination Date,Date First Flower,Days to flowering,Node Leaf coll.,Plant Height (mm),Corolla Length (mm),Corolla Width (mm),Longest Stamen Length (mm),Smallest Stamen Length (mm),Pistil Length (mm),Cleistogamy?,Stigma-anther separation,Anther-anther separation,Leaf lobing index,Notes
BCL,1,A,15h,284,305,21,2,87,17.41,13.08,10.6,9.61,11.73,N,1.13,0.99,0.1959374163,
BCL,1,B,15h,284,305,21,2,66,12.21,7.39,8.18,7.1,8.09,N,-0.09,1.08,0.1304297374,
BCL,1,C,15h,284,307,23,2,78,13.94,9.28,9.11,7.75,9.69,N,0.58,1.36,0.148,
BCL,2,A,15h,284,307,23,2,38,12.28,5.73,8.7,8.01,,N,,0.69,0.169,
BCL,2,B,15h,284,306,22,2,67,12,8.52,9.03,8.32,10.31,N,1.28,0.71,0.3271298744,
BCL,2,C,15h,284,307,23,2,69,12.37,6.11,8.09,7,8.93,N,0.84,1.09,0.310,
BCL,3,A,15h,284,307,23,2,56,12.31,8.04,9.06,6.82,8.55,N,-0.51,2.24,0.266,
BCL,3,B,15h,285,304,19,2,48,10.11,6.37,8.07,6.19,8.06,N,-0.01,1.88,0.248,
BCL,3,C,15h,285,305,20,2,62,11.05,6.89,8.45,7.27,9.48,N,1.03,1.18,0.2526065725,
BCL,4,A,15h,284,307,23,2,37,13.22,7.77,8.38,7.32,9.82,N,1.44,1.06,0.232,
BCL,4,B,15h,285,306,21,2,36,10.79,6.76,8.61,7.56,9.58,N,0.97,1.05,0.2480989016,
BCL,4,C,15h,285,312,27,2,81,10.72,5.15,8.67,7.49,8.95,N,0.28,1.18,0.2286235052,
BCL,9,A,15h,284,303,19,2,77,12.05,9.88,9.35,6.67,9.26,N,-0.09,2.68,0.2796181544,
BCL,9,B,15h,284,303,19,2,67,11.36,6.8,10.53,7.84,,N,,2.69,0.2675618187,
BCL,9,C,15h,284,303,19,3,57,9.67,4.2,9.51,6.37,,N,,3.14,,
BCL,15,A,15h,284,309,25,3,40,9.5,4.83,7.23,6.3,8.19,N,0.96,0.93,0.3733712745,
BCL,15,B,15h,285,309,24,1,56,11.28,6.44,7.66,6.9,8.64,N,0.98,0.76,0.2201953952,
BCL,15,C,15h,285,307,22,2,32,9.42,5.76,6.74,6,8.17,N,1.43,0.74,0.297,
BML,4,A,15h,284,304,20,2,50,15.25,9.39,8.35,6.99,9.66,N,1.31,1.36,0.205,
BML,4,B,15h,284,303,19,2,72,14.83,10.92,11.04,7.92,10.76,N,-0.28,3.12,0.1437625436,
BML,4,C,15h,284,303,19,3,57,10.22,4.89,8.41,6.45,8.33,Y,-0.08,1.96,0.1342460357,
BML,5,A,15h,285,305,20,2,37,15.45,12.2,10.44,9.96,11.77,N,1.33,0.48,0.3611257079,
BML,5,B,15h,284,303,19,2,51,11.53,6.37,9.3,7.81,8.62,Y,-0.68,1.49,0.2890474268,
BML,5,C,15h,284,304,20,2,9,12.7,9,7.84,7.24,9.21,N,1.37,0.6,0.217,
BML,6,A,15h,284,305,21,2,60,13.83,7.74,10.7,9.58,10.9,N,0.2,1.12,0.1950960901,
BML,6,B,15h,284,305,21,2,65,12.65,8.25,10.64,9.38,10.06,N,-0.58,1.26,0.1894592979,
BML,6,C,15h,284,305,21,2,52,12.37,7.21,9.71,8.64,,N,,1.07,0.1750023907,
BML,7,A,15h,285,305,20,2,25,14.29,9.47,10.25,9.86,10.61,N,0.36,0.39,,
BML,7,B,15h,284,305,21,2,18,15,10.33,10.21,9.13,10.87,N,0.66,1.08,,
BML,7,C,15h,285,305,20,2,21,15.92,10.87,11.29,10.39,12.24,N,0.95,0.9,0.3522174777,
BML,10,A,15h,284,305,21,2,59,14.95,11.88,12.17,10.79,11,N,-1.17,1.38,0.2484746307,
BML,10,B,15h,284,304,20,2,41,14.92,8.72,11.11,9.62,10.18,N,-0.93,1.49,0.151,
BML,10,C,15h,284,305,21,2,35,14.39,7.63,10.71,9.2,9.14,Y,-1.57,1.51,0.2425822562,
BML,13,A,15h,285,306,21,2,72,11.54,7.31,10.1,9.1,10.21,Y,0.11,1,0.1649602635,
BML,13,B,15h,284,304,20,2,62,10.41,6.1,8.89,7.46,9.45,Y,0.56,1.43,0.114,
BML,13,C,15h,284,306,22,2,71,12.32,7.21,9.6,8.76,9.89,N,0.29,0.84,0.3009418075,
BML,14,A,15h,285,305,20,2,57,11.83,4.2,8.99,7.92,11.29,Y,2.3,1.07,0.1680264036,
BML,14,B,15h,284,304,20,2,62,14.69,10.18,10.44,9.16,12.18,N,1.74,1.28,0.273,
BML,14,C,15h,284,303,19,2,96,13.55,10.71,13.09,9.62,16.26,N,3.17,3.47,0.2628929525,
BML,16,A,15h,284,305,21,2,48,13.9,6.46,9.24,8.23,9.92,N,0.68,1.01,0.2375444394,
BML,16,B,15h,284,305,21,2,50,11.82,4.83,9.16,8.24,8.57,Y,-0.59,0.92,0.1879086069,
BML,16,C,15h,285,306,21,2,52,12.4,5.94,9.95,9.19,9.67,N,-0.28,0.76,0.2657743786,
BML,19,A,15h,284,304,20,2,21,12.85,9.57,9.02,8.55,9.71,N,0.69,0.47,0.084,
BML,19,B,15h,285,305,20,2,29,11.62,7.44,8.75,7.92,8.45,N,-0.3,0.83,0.07218967483,
BML,19,C,15h,284,304,20,2,39,15.24,8.44,9.92,9.06,10.38,N,0.46,0.86,0.088,
CECL,5,A,15h,284,305,21,2,53,10.6,6.12,9.03,7.18,7.67,N,-1.36,1.85,0.1597731318,
CECL,5,B,15h,284,306,22,2,55,12.66,6.06,10.78,9.83,8.8,N,-1.98,0.95,0.157969118,
CECL,5,C,15h,284,306,22,2,28,12,5.12,9.74,8.25,8.29,N,-1.45,1.49,0.1073311632,
CECL,6,A,15h,285,306,21,2,51,11.86,8.09,9.93,8.49,9.07,N,-0.86,1.44,0.1355549655,
CECL,6,B,15h,288,306,18,1,52,9.05,2.04,7.37,6.37,6.92,Y,-0.45,1,0.1417318206,
CECL,6,C,15h,285,313,28,2,60,10.28,5.24,9.4,8.41,8.73,N,-0.67,0.99,0.1465851905,
CECL,10,A,15h,284,307,23,1,49,12.1,7.83,9.92,8.54,8.93,N,-0.99,1.38,0.160,
CECL,10,B,15h,284,306,22,2,49,11.16,6.26,10.04,8.3,8.56,N,-1.48,1.74,0.1831218974,
CECL,10,C,15h,284,310,26,2,37,12.3,4.91,9.19,8.32,9.03,Y,-0.16,0.87,0.1490451423,
CECL,13,B,15h,285,309,24,3,61,11.36,6.16,8.26,7.43,9.75,N,1.49,0.83,0.4073976114,
CECL,13,C,15h,284,310,26,2,65,10.16,5.39,8.13,7.53,9.15,N,1.02,0.6,0.2778446506,
DNK,14,A,15h,286,307,21,2,26,9.93,7.74,8.83,7.75,7.6,N,-1.23,1.08,0.259,
DNK,14,B,15h,284,309,25,1,20,12.71,7.33,8.26,7.15,7.94,N,-0.32,1.11,0.1635370219,
DNK,14,C,15h,286,307,21,2,10,11.03,7.48,8.46,7.41,8.01,N,-0.45,1.05,0.356,
DNK,17,A,15h,286,307,21,2,53,12.17,8.19,8.66,8.05,9.84,N,1.18,0.61,0.234,
DNK,17,B,15h,286,307,21,2,59,16.23,10.21,10.7,9.38,10.51,N,-0.19,1.32,0.303,
DNK,17,C,15h,286,306,20,2,55,13.4,9.12,9.88,8.71,10.6,N,0.72,1.17,0.3031064345,
DNK,21,A,15h,284,307,23,2,11,10.7,7.99,8.92,7.8,7.57,N,-1.35,1.12,0.223,
DNK,21,B,15h,284,306,22,1,21,8.66,6.05,6.19,,6.6,N,0.41,,0.2502090371,
DNK,21,C,15h,284,307,23,2,15,9.96,6.83,7.89,6.44,6.9,N,-0.99,1.45,0.384,
DNK,27,A,15h,287,312,25,2,2,8.39,5.43,7.21,6.39,7.24,N,0.03,0.82,0.2276853601,
DNK,27,B,15h,287,310,23,2,15,10.11,7.14,8.43,7.57,8.24,N,-0.19,0.86,0.2701886378,
DNK,27,C,15h,287,312,25,1,9,8.82,5.32,7.74,6.8,7.24,N,-0.5,0.94,0.2191492321,
DNK,30,A,15h,287,310,23,2,9,9.84,6.35,8.03,6.95,8.3,N,0.27,1.08,0.2076935467,
DNK,30,B,15h,284,308,24,3,31,12.82,8.1,9.11,7.77,11.19,N,2.08,1.34,0.1178119238,
DNK,30,C,15h,286,310,24,2,20,10.48,6.15,9.2,8.09,8.01,N,-1.19,1.11,0.3120639023,
DNK,34,A,15h,284,313,29,1,74,12.22,7.94,10.18,9.19,9.38,N,-0.8,0.99,0.1827600702,
DNK,34,B,15h,284,309,25,2,33,13.46,6.93,8.69,8.15,9.82,N,1.13,0.54,0.09615881492,
DNK,34,C,15h,284,308,24,3,64,14.91,7.46,10.39,9.52,11.33,N,0.94,0.87,0.2370359942,
DNK,38,A,15h,285,311,26,1,9,9.8,6.01,8.64,7.73,7.66,N,-0.98,0.91,0.2588933653,
DNK,38,B,15h,285,309,24,1,15,11.75,6.54,8.24,7.34,8.86,N,0.62,0.9,0.2826597132,
DNK,38,C,15h,285,309,24,2,31,11.57,7.04,7.65,6.83,8.68,N,1.03,0.82,0.2726178331,
DNK,39,A,15h,285,312,27,2,36,12.51,7.74,8.5,7.97,8.8,N,0.3,0.53,0.1779079065,
DNK,39,B,15h,285,307,22,2,15,12.45,7.71,8.81,7.84,8.44,N,-0.37,0.97,0.240,
DNK,39,C,15h,285,306,21,2,20,11.6,6.81,8.91,8.22,9.03,N,0.12,0.69,0.3212260065,
GB,1,A,15h,284,309,25,3,26,11.01,5.93,7.64,6.43,7.56,N,-0.08,1.21,0.1733870968,
GB,1,B,15h,284,309,25,1,35,10.73,4.32,7.05,6.17,7.3,N,0.25,0.88,0.09148514851,
GB,1,C,15h,284,305,21,2,22,11.18,6.51,8.5,7.67,9.07,N,0.57,0.83,0.2233236954,
GB,2,A,15h,284,304,20,2,67,13.99,9.3,9.86,7.72,11.18,N,1.32,2.14,0.196,
GB,2,B,15h,284,304,20,3,79,12.05,8.57,8.59,7.24,9.5,N,0.91,1.35,0.241,Leaves too decayed to take from 1 or 2 node
GB,2,C,15h,284,304,20,2,56,12.56,7.43,8.95,7.45,9.33,N,0.38,1.5,0.180,
GB,25,A,15h,284,304,20,2,33,14.42,10.16,9.6,8.81,7.98,N,-1.62,0.79,0.261,
GB,25,B,15h,284,304,20,2,25,13.71,7.74,9.76,8.84,10.79,N,1.03,0.92,0.201,
GB,25,C,15h,284,303,19,2,35,15.09,8.91,7.59,6.58,9.4,N,1.81,1.01,0.3297885196,
GB,32,A,15h,284,306,22,2,71,15.38,11.81,11.41,9.99,11.14,N,-0.27,1.42,0.316353187,
GB,32,B,15h,284,307,23,2,86,18.37,12.01,12.46,10.39,10.77,N,-1.69,2.07,0.239,
GB,32,C,15h,285,307,22,2,64,15.92,10.07,11.56,9.65,9.76,N,-1.8,1.91,0.204,
GB,39,A,15h,284,305,21,2,17,10.07,4.89,8.53,6.31,6.77,N,-1.76,2.22,0.2267843661,
GB,39,B,15h,284,312,28,1,68,11.51,7.15,9.11,8.05,8.82,N,-0.29,1.06,0.2619905058,
GB,39,C,15h,284,305,21,2,16,11.53,7.08,9.32,7.66,8.47,N,-0.85,1.66,0.2639291933,
GB,44,A,15h,284,306,22,2,66,14.42,10.97,11.25,9.66,10.51,N,-0.74,1.59,0.1867634024,
GB,44,B,15h,284,306,22,2,81,14.29,8.44,10.44,8.72,9.89,N,-0.55,1.72,0.2171500705,
GB,44,C,15h,284,306,22,2,79,15.25,7.98,10.42,9.4,9.79,N,-0.63,1.02,0.1723047476,
HEH,2,A,15h,284,309,25,3,62,10.37,4.42,7.38,5.81,8.23,Y,0.85,1.57,0.1419762846,flower scenesced so it couldn't be measured. data needed
HEH,2,B,15h,284,307,23,2,69,11.03,7.51,7.85,6.84,8.64,N,0.79,1.01,0.338,
HEH,2,C,15h,284,310,26,2,64,10.76,6.26,7.34,6.75,8.64,N,1.3,0.59,0.2901839357,
HEH,4,A,15h,284,303,19,3,66,15.77,7.39,9.18,7.82,8.19,N,-0.99,1.36,0.1027466368,
HEH,4,B,15h,284,302,18,2,45,11.51,6.95,7.4,5.94,9.15,N,1.75,1.46,0.161,
HEH,4,C,15h,284,304,20,2,58,12.03,5.8,8.64,7.23,7.97,Y,-0.67,1.41,0.125,
HEH,9,A,15h,284,304,20,2,67,14.43,10.02,10.14,8.67,10.72,N,0.58,1.47,0.145,
HEH,9,B,15h,284,306,22,2,105,15.88,11.71,12.15,10.64,11.5,N,-0.65,1.51,0.233789511,
HEH,9,C,15h,284,304,20,2,65,11.96,8.91,9.63,8.58,8.84,N,-0.79,1.05,0.125,
HEH,12,A,15h,284,310,26,2,74,9.91,5.59,8,6.94,8.7,Y,0.7,1.06,0.126666203,
HEH,12,B,15h,284,310,26,2,61,9.83,5.2,7.91,7.05,8.23,Y,0.32,0.86,0.3575737053,
HEH,12,C,15h,285,312,27,1,67,9.76,4.45,7.76,6.96,8.36,Y,0.6,0.8,0.07682658536,
HEH,16,A,15h,284,303,19,3,48,7.63,4.35,8.09,7.53,7.68,Y,-0.41,0.56,0.1209322507,
HEH,16,B,15h,284,304,20,2,41,10.63,5.12,7.87,6.9,8.17,Y,0.3,0.97,0.173,
HEH,16,C,15h,284,303,19,3,78,12.34,6.43,9.23,8.33,10.25,N,1.02,0.9,0.09987603083,
HEH,17,A,15h,284,303,19,3,49,9.95,5.96,9.48,9.02,7.74,Y,-1.74,0.46,0.1085758965,
HEH,17,B,15h,284,303,19,3,48,10.46,5.87,9.43,7.35,11.13,Y,1.7,2.08,0.1505447145,
HEH,17,C,15h,284,303,19,3,34,7.89,6.78,5.89,4.08,8.79,N,2.9,1.81,0.1015711902,
HEH,20,A,15h,284,305,21,2,81,13.93,7.85,11.23,10.29,9.8,N,-1.43,0.94,0.0962247023,
HEH,20,B,15h,284,305,21,2,44,11.33,5.56,9.43,8.48,7.6,N,-1.83,0.95,0.09310870771,
HEH,20,C,15h,284,306,22,2,51,12.55,7.42,9.49,8.57,9.02,N,-0.47,0.92,0.1068186769,
HHR,5,A,15h,285,305,20,2,56,14.19,10.05,9.34,7.94,9.88,N,0.54,1.4,0.1183282516,
HHR,5,B,15h,285,307,22,2,75,17.94,12.42,9.44,8.53,9.74,N,0.3,0.91,0.153,
HHR,5,C,15h,285,308,23,3,88,11.7,14.94,9.95,9.39,12.44,N,2.49,0.56,0.07064252751,
HHR,13,A,15h,286,308,22,3,88,10.88,6.03,11.03,9.58,8.92,N,-2.11,1.45,0.05437601297,
HHR,13,B,15h,286,305,19,2,58,12.76,7,8.68,7.67,8.4,N,-0.28,1.01,0.1099514244,
HHR,13,C,15h,285,307,22,2,65,12.6,7.01,8.4,7.83,9.61,N,1.21,0.57,0.089,
HHR,17,A,15h,284,308,24,3,132,16.35,10.19,8.76,8.27,10.81,N,2.05,0.49,0.1090735545,
HHR,17,B,15h,284,307,23,2,42,14.04,8.47,9.51,8.59,10.48,N,0.97,0.92,0.1193509946,
HHR,18,A,15h,284,305,21,2,33,12.77,6.19,7.27,6.97,7.97,N,0.7,0.3,0.06701861131,
HHR,18,B,15h,284,305,21,2,77,15.45,8.74,9.5,8.87,9.89,N,0.39,0.63,0.07400263455,
HHR,18,C,15h,284,303,19,3,95,14.85,11.9,10.71,9.63,13.85,N,3.14,1.08,0.1119675067,
HUL,2,A,15h,285,309,24,2,89,11.64,3.84,9.21,8.26,10.9,Y,1.69,0.95,0.07629614802,
HUL,2,B,15h,285,312,27,2,105,14.19,8.44,9.02,7.89,10.88,N,1.86,1.13,0.05305138193,
HUL,2,C,15h,285,310,25,2,85,14.29,7.45,9.34,7.58,11.35,N,2.01,1.76,0.132412518,
HUL,3,A,15h,284,307,23,2,57,15.82,10.59,8.95,8.25,9.95,N,1,0.7,0.358,
HUL,3,B,15h,284,305,21,2,58,15.36,9.52,8.83,8.25,11.36,N,2.53,0.58,0.232931526,
HUL,3,C,15h,284,309,25,2,82,15.24,7.99,8.45,8.06,11.51,N,3.06,0.39,0.2573894395,
HUL,4,A,15h,285,310,25,2,66,13,5.89,9.56,7.97,10.65,N,1.09,1.59,0.3641431064,
HUL,4,B,15h,285,308,23,2,74.5,13.38,7.6,8.16,7.62,10.54,N,2.38,0.54,0.205012995,
HUL,4,C,15h,285,311,26,2,88,11.41,6.83,8.36,7.76,10.62,N,2.26,0.6,0.2492602925,
HUL,5,A,15h,284,308,24,2,88,13.64,5.49,8.91,8.73,8.99,N,0.08,0.18,0.2890787139,
HUL,5,B,15h,284,307,23,2,67,12.85,6.6,8.98,7.97,10.31,N,1.33,1.01,0.228,
HUL,5,C,15h,285,308,23,2,86,11.21,8.04,8.88,8,10.5,N,1.62,0.88,0.3192444937,
HUL,6,A,15h,285,306,21,2,60,12.61,5.49,8.17,7.42,9.15,Y,0.98,0.75,0.1872191219,
HUL,6,B,15h,284,308,24,2,88,12.39,7.89,8.63,7.56,10.15,N,1.52,1.07,0.2922064824,
HUL,6,C,15h,285,307,22,2,43,13.84,8.08,7.92,7.48,10.15,N,2.23,0.44,0.236,
HUL,7,A,15h,284,309,25,3,76,12.86,6.86,8.03,7.41,9.88,N,1.85,0.62,0.3453350031,flower found in pot but was shriveled. Needs data taken still.
HUL,7,B,15h,284,309,25,2,83,14.18,7.19,9.3,7.58,10.39,Y,1.09,1.72,0.3943289828,
HUL,7,C,15h,285,309,24,1,72,11.4,4.44,8.04,7.08,9.83,N,1.79,0.96,0.07809115575,
HUL,9,A,15h,284,309,25,2,84,14.79,7.99,9.19,8.09,10.76,N,1.57,1.1,0.3015696964,
HUL,9,B,15h,285,309,24,1,97,16.76,7.12,9.45,7.97,9.89,N,0.44,1.48,0.09010221362,
HUL,9,C,15h,285,307,22,2,41,11.98,7.53,8.08,7,9.61,N,1.53,1.08,0.152,
HUL,10,A,15h,285,308,23,2,65,12.54,7.33,8.12,7.36,9.4,N,1.28,0.76,0.2983639803,
HUL,10,B,15h,286,309,23,3,51,12.41,5.98,8.11,7.17,8.25,N,0.14,0.94,0.2665423807,
HUL,10,C,15h,286,309,23,3,61,13.52,7.07,8.97,7.42,9.73,N,0.76,1.55,0.2598825355,
HUL,20,A,15h,285,308,23,2,66,10.81,5.94,7.66,6.91,7.83,N,0.17,0.75,0.1990735334,
HUL,20,B,15h,285,309,24,3,51,11.92,6.79,7.98,7.41,8.66,N,0.68,0.57,0.2108288871,
HUL,20,C,15h,285,307,22,2,58,12.69,7.94,9,7.86,10.08,N,1.08,1.14,0.354,
LIB,1,A,15h,284,306,22,2,76,16.26,11.7,10.93,9.78,10.73,N,-0.2,1.15,0.2107242827,
LIB,1,B,15h,285,304,19,2,69,15.73,11.55,10.32,8.71,10.67,N,0.35,1.61,0.247,
LIB,1,C,15h,285,305,20,2,62,15.27,10.61,9.69,8.55,10.23,N,0.54,1.14,0.1780993992,
LIB,3,B,15h,286,307,21,2,46,11.92,9.59,9.87,8.25,9.96,N,0.09,1.62,0.188,
LIB,5,A,15h,284,305,21,2,115,13.87,10.98,10.53,9.17,10.89,N,0.36,1.36,0.2548804337,
LIB,5,B,15h,284,306,22,2,58,10.44,6.44,8.5,7.79,9.93,N,1.43,0.71,0.1676579227,
LIB,5,C,15h,284,307,23,2,71,14.68,11.21,10.84,9.38,10.05,N,-0.79,1.46,0.109,
LIB,6,A,15h,284,305,21,2,57,10.4,7.99,8.78,7.34,8.5,N,-0.28,1.44,0.09823788546,
LIB,6,B,15h,284,305,21,2,86,15.25,10.4,9.87,8.52,10.42,N,0.55,1.35,0.1364804503,
LIB,6,C,15h,284,305,21,2,103,14.87,11.29,10.2,8.6,10.54,N,0.34,1.6,0.1792351198,
LIB,7,A,15h,284,308,24,3,64,8.82,14.65,10.21,7.86,12.04,N,1.83,2.35,0.1727361903,
LIB,7,B,15h,284,306,22,2,72,14.1,10.46,10.76,9.49,10.57,N,-0.19,1.27,0.1317241869,
LIB,7,C,15h,284,306,22,2,74,15.49,10.85,10.94,9.87,11.12,N,0.18,1.07,,
LIB,10,A,15h,284,305,21,2,86,12.63,9.94,8.03,7.28,8.9,N,0.87,0.75,0.1222770242,
LIB,10,B,15h,284,305,21,2,94,16.03,12.29,10.45,8.66,9.08,N,-1.37,1.79,0.1664648605,
LIB,10,C,15h,285,306,21,2,82,12.21,11.49,8.91,8.15,9.49,N,0.58,0.76,0.1447021495,
LIB,11,B,15h,284,314,30,2,101,11.01,4.31,8.35,7.11,8.47,Y,0.12,1.24,0.5718223259,
LIB,11,C,15h,285,307,22,2,64,11.22,10.54,9.82,8.58,9.27,N,-0.55,1.24,0.103,
LIB,12,A,15h,284,309,25,3,68,10.62,5.92,7.52,7.07,8.85,N,1.33,0.45,0.2070560096,
LIB,12,B,15h,286,310,24,2,55,11.92,7.35,9.11,7.77,9.52,N,0.41,1.34,0.2917294892,
LIB,12,C,15h,284,311,27,2,56,10.43,5.49,7.33,6.91,8.13,N,0.8,0.42,0.1562820776,
LIB,13,A,15h,285,307,22,2,51,11.81,8.96,9.33,7.96,9.99,N,0.66,1.37,0.292,
LIB,13,B,15h,284,307,23,2,58,11.73,9.74,10.41,8.71,9.76,N,-0.65,1.7,0.262,
LIB,13,C,15h,284,307,23,2,48,12.92,9.63,9.68,8.27,9.38,N,-0.3,1.41,0.242,
OPN,1,A,15h,287,312,25,1,3,8.88,3.65,5.32,4.69,6.74,Y,1.42,0.63,0.1930027135,
OPN,1,B,15h,287,308,21,1,17,12.57,9.09,9.59,8.18,9.83,N,0.24,1.41,0.3197638118,
OPN,1,C,15h,287,308,21,3,64,13.81,7.3,7.2,6.43,10.69,N,3.49,0.77,0.2654385054,
OPN,4,A,15h,285,308,23,3,69.5,11.4,5.33,8.12,7.53,9.13,N,1.01,0.59,0.108511367,
OPN,4,B,15h,285,308,23,2,19,11.86,6.14,7.65,6.93,9.47,N,1.82,0.72,0.2526488002,
OPN,4,C,15h,285,311,26,2,65,13.4,7.44,8.48,7.74,9.9,N,1.42,0.74,0.3356486088,
OPN,7,A,15h,286,311,25,2,46,12.58,8.58,10.03,8.66,10.32,N,0.29,1.37,0.2176992293,
OPN,7,B,15h,286,309,23,1,6.4,17.42,9.28,11.13,9.27,10.71,N,-0.42,1.86,0.2004444092,
OPN,7,C,15h,286,309,23,1,50,16.02,8.03,9.86,8.65,10.53,N,0.67,1.21,0.225417959,
OPN,8,A,15h,284,308,24,2,40,10.39,,7.92,7.37,9.19,N,1.27,0.55,0.1321858104,
OPN,8,B,15h,284,308,24,2,38,10.97,8.04,8.37,7.14,9.15,N,0.78,1.23,0.2006813798,
OPN,8,C,15h,285,312,27,2,45,11.62,5.89,8.21,7.42,9.67,N,1.46,0.79,0.1046959915,
OPN,9,A,15h,286,306,20,2,42,12.49,5.88,8.79,7.32,,N,,1.47,0.3430493274,
OPN,9,B,15h,286,306,20,2,50,13.36,6.99,8.64,7.4,9.79,N,1.15,1.24,0.365678317,
OPN,9,C,15h,286,306,20,2,40,12.23,7.01,9,8.12,9.78,N,0.78,0.88,0.3089211005,
OPN,15,A,15h,286,309,23,4,71,11.47,7.33,8.31,7.6,10.16,N,1.85,0.71,0.2466327653,
OPN,15,C,15h,286,310,24,2,53,9.33,3.07,8.1,6.36,7.99,Y,-0.11,1.74,0.1877109356,
OPN,16,B,15h,287,310,23,2,34,12.36,6.93,10.03,9.01,8.42,N,-1.61,1.02,0.1686675319,
OPN,18,A,15h,288,313,25,1,35,10.91,6.92,8.57,7.33,7.95,N,-0.62,1.24,0.233429001,
OPN,18,B,15h,286,308,22,2,69,15.66,8.71,9.48,8.24,12.84,N,3.36,1.24,0.09687545275,
OPN,18,C,15h,286,308,22,2,58,16.01,9.06,9.56,8.39,10.94,N,1.38,1.17,0.1964013569,
PETL,1,A,15h,284,309,25,1,42,12.86,7.2,8.67,7.54,9.26,N,0.59,1.13,0.08904394299,
PETL,1,B,15h,285,307,22,2,67,12.09,8.18,8.62,7.16,10.15,N,1.53,1.46,0.274,
PETL,1,C,15h,285,307,22,2,61,12.69,7.01,7.95,7.34,9.73,N,1.78,0.61,0.217,
PETL,2,A,15h,285,306,21,2,57,13.37,7.09,8.71,7.38,9.24,N,0.53,1.33,0.2566864537,
