Population,Line,Pot,Photoperiod,Germination Date,Date First Flower,Days to flowering,Node Leaf coll.,Plant Height (mm),Corolla Length (mm),Corolla Width (mm),Longest Stamen Length (mm),Smallest Stamen Length (mm),Pistil Length (mm),Cleistogamy?,Stigma-anther separation,Anther-anther separation,Leaf lobing index,Notes
GB,39,B,11h,45,73,28,2,2,9.66,4.58,7.15,6.08,5.69,N,1.46,1.07,0.1849004949,
GB,39,C,11h,55,74,19,2,1,8.62,2.31,6.5,5.91,6,Y,0.5,0.59,0.2223951014,
GB,44,A,11h,44,80,36,2,7,8.75,2.29,7.19,6.5,6.84,Y,0.35,0.69,0.117397486,
GB,44,B,11h,44,81,37,2,4,6.38,1.79,5.68,5.47,4.25,Y,1.43,0.21,0.1024434389,
GB,44,C,11h,44,77,33,2,5,10.21,3.36,8.32,7.41,8.3,N,0.02,0.91,0.3538560549,
HEH,1,A,11h,45,72,27,2,18,8.77,5.34,6.87,5.63,6.06,N,0.81,1.24,0.07434784169,
HEH,1,B,11h,45,73,28,2,12,8.39,4.26,7.11,6.1,5.64,N,1.47,1.01,0.07142654606,
HEH,1,C,11h,45,70,25,2,14,8.54,3.89,8.47,6.52,7.11,DNF,1.36,1.95,0.09401398536,
HEH,2,A,11h,45,79,34,2,2,6.22,1.5,4.74,4.3,6.41,Y,-1.67,0.44,0.1340863685,
HEH,2,B,11h,45,74,29,2,5,6.88,3.31,,,7.33,N,,,0.2391674933,
HEH,2,C,11h,45,76,31,2,4,8.98,3.45,5.09,3.99,6.13,Y,-1.04,1.1,0.184834707,
HEH,4,A,11h,44,66,22,2,8,8.89,3.73,7.03,6.27,7.62,DNF,-0.59,0.76,0.1591293094,
HEH,4,B,11h,44,66,22,2,5,9.54,4.05,7.93,7.09,6.67,DNF,1.26,0.84,0.1793020778,
HEH,9,A,11h,44,67,23,2,15,14.62,9.49,8.14,7.38,9.35,N,-1.21,0.76,0.1938009557,
HEH,9,B,11h,44,67,23,2,20,13.37,9.83,8.59,7.84,9.74,N,-1.15,0.75,0.1949144558,
HEH,9,C,11h,44,68,24,2,26,16.93,11.08,9.43,8.28,13.75,N,-4.32,1.15,0.3541047145,
HEH,12,A,11h,44,77,33,2,8,8.68,4.23,8.24,5.95,9.65,N,-1.41,2.29,0.288310714,
HEH,12,B,11h,44,79,35,2,9,6.97,1.65,5.17,4.84,6.97,Y,-1.8,0.33,0.1503296784,
HEH,12,C,11h,44,79,35,2,3,7.62,1.8,5.98,5.56,6.65,Y,-0.67,0.42,0.2159061366,
HEH,16,A,11h,44,66,22,2,15,11.32,5.99,8.76,7.97,8.64,N,0.12,0.79,0.1959286901,
HEH,16,B,11h,44,66,22,2,6,9.73,4.9,8.26,6.68,7.32,DNF,0.94,1.58,0.1346756664,
HEH,16,C,11h,44,66,22,2,10,8.69,3.63,7.53,6.53,6.26,DNF,1.27,1,0.1177998354,
HEH,17,A,11h,44,73,29,2,9,12.63,6.92,9.17,8.12,8.45,N,0.72,1.05,0.1616121912,
HEH,17,B,11h,44,66,22,2,1,10.49,5.53,7.82,7.53,8.4,N,-0.58,0.29,0.1300377155,
HEH,17,C,11h,44,72,28,2,10,10.82,6.59,9.13,8.05,7.57,N,1.56,1.08,0.1270119483,
HEH,20,A,11h,44,66,22,2,10,8.24,2.27,6.43,5.69,6.29,Y,0.14,0.74,0.09407302313,
HEH,20,B,11h,44,66,22,2,7,9.35,2,7.82,6.66,7.19,Y,0.63,1.16,0.1380166717,
HEH,20,C,11h,44,66,22,2,8,9.63,4.14,8.53,6.97,8.16,DNF,0.37,1.56,0.09153965337,
HHR,5,A,11h,45,73,28,2,4,10.92,4.88,7.56,6.7,8.09,N,-0.53,0.86,0.1484618907,
HHR,5,B,11h,44,69,25,3,9,11.1,7.56,8.52,6.57,8.03,N,0.49,1.95,0.1132785002,
HHR,5,C,11h,44,69,25,2,12,10.62,6.63,8.95,7.37,10.43,N,-1.48,1.58,0.1808065489,
HHR,17,A,11h,44,74,30,2,9,10.3,4.52,8.4,7.21,9.2,N,-0.8,1.19,0.1267389341,
HHR,17,B,11h,44,74,30,2,9,7.44,2.51,7.08,6.49,7.14,N,-0.06,0.59,,
HHR,17,C,11h,44,76,32,2,11,11.59,4.37,8.88,7.57,9.21,N,-0.33,1.31,0.2236658005,
HHR,18,A,11h,44,66,22,2,18,13.68,8.47,8.34,7.48,7.96,N,0.38,0.86,0.1046633278,
HHR,18,B,11h,44,66,22,2,5,12.08,6.11,8.06,7.26,7.93,N,0.13,0.8,0.1091993577,
HHR,18,C,11h,44,72,28,2,4,10.43,4.85,7.44,6.54,7.49,N,-0.05,0.9,0.1637321085,
HUL,2,A,11h,47,,,2,13,,,,,,DNF,,,0.1675382765,
HUL,2,B,11h,46,,,2,8,,,,,,DNF,,,0.1501923113,
HUL,2,C,11h,44,77,33,2,4,5.87,2.67,4.95,4.66,5.18,Y,-0.23,0.29,0.2661396574,
HUL,3,A,11h,44,71,27,2,3,8.44,3.1,6.8,6.16,7.22,N,-0.42,0.64,0.1366745985,
HUL,3,B,11h,44,77,33,2,6,7.4,2.12,5.59,4.63,6.68,Y,-1.09,0.96,0.2999968786,
HUL,4,A,11h,44,81,37,2,4,4.44,1.04,4.25,4.05,6.02,Y,-1.77,0.2,0.1465106069,
HUL,4,B,11h,45,,,2,10,,,,,,DNF,,,0.2819985556,
HUL,4,C,11h,44,73,29,2,3,7.53,2.84,5.41,4.14,6.81,Y,-1.4,1.27,0.1048698081,
HUL,5,A,11h,52,,,2,7,,,,,,DNF,,,0.1636027203,
HUL,5,B,11h,44,76,32,2,7,7.25,2.01,4.97,3.34,5.55,Y,-0.58,1.63,0.08442825859,
HUL,5,C,11h,44,77,33,2,3,6.84,2.68,5.1,3.26,6.79,N,-1.69,1.84,0.2449148354,
HUL,6,A,11h,44,81,37,2,3,6.92,1.48,5.55,4.83,6.08,Y,-0.53,0.72,0.3202968781,
HUL,6,B,11h,44,77,33,2,5,6.58,3.02,5.3,3.78,7.23,N,-1.93,1.52,0.1392476303,
HUL,6,C,11h,44,74,30,2,1,7.22,2.07,5.02,,7.15,N,-2.13,5.02,0.2294451249,
HUL,7,A,11h,45,,,2,23,,,,,,DNF,,,0.1789108573,
HUL,7,B,11h,45,,,2,12,,,,,,DNF,,,0.2704812448,
HUL,7,C,11h,45,,,2,9,,,,,,DNF,,,0.1492010294,
HUL,9,A,11h,45,,,2,17,,,,,,DNF,,,0.1040170496,
HUL,9,B,11h,44,,,2,15,,,,,,DNF,,,0.1185163532,
HUL,9,C,11h,44,,,2,10,,,,,,DNF,,,0.06680215743,
HUL,10,A,11h,44,78,34,2,3,7.07,1.42,5.6,5.18,7.28,Y,-1.68,0.42,0.1277220436,
HUL,10,B,11h,45,,,2,11,,,,,,DNF,,,0.08428580013,
HUL,10,C,11h,44,80,36,2,5,5.58,1.13,4.27,4.03,6.05,Y,-1.78,0.24,0.08948159834,
HUL,20,A,11h,45,74,29,2,3,7.24,1.62,5.9,5.2,6.68,Y,-0.78,0.7,0.2093989541,
HUL,20,B,11h,44,78,34,2,6,6.1,1.41,4.92,4.68,6.23,Y,-1.31,0.24,0.1014941091,
HUL,20,C,11h,44,78,34,2,7,6.58,1.6,4.41,3.94,6.59,Y,-2.18,0.47,0.1368231821,
LIB,1,A,11h,45,69,24,2,7,10.49,7.31,7.11,6.02,8.52,N,-1.41,1.09,0.2024188539,
LIB,1,B,11h,59,,,2,9,,,,,,DNF,,,0.07618841482,
LIB,1,C,11h,55,,,2,9,,,,,,DNF,,,0.05484999803,
LIB,3,A,11h,44,69,25,2,9,11.67,7.12,8.03,7.12,9.44,N,-1.41,0.91,0.1464531582,
LIB,3,B,11h,44,68,24,2,14,13.16,8.41,9.5,5.66,9.18,N,0.32,3.84,0.1997110662,
LIB,3,C,11h,45,69,24,3,7,13.97,7.4,8.5,6.35,10.53,N,-2.03,2.15,0.1952892455,
LIB,5,A,11h,44,,,2,14,,,,,,DNF,,,0.1164742659,
LIB,5,B,11h,44,66,22,2,12,12.86,7.29,8.59,7.77,9.52,N,-0.93,0.82,0.2307272286,
LIB,5,C,11h,44,67,23,2,4,10.22,3.87,7.54,6.59,7.7,DNF,-0.16,0.95,0.1149854312,
LIB,6,A,11h,44,67,23,2,10,12.67,8.69,9.11,8.21,9.48,N,-0.37,0.9,0.1868050761,
LIB,6,B,11h,44,67,23,2,4,12.06,7.71,8.89,7.81,8.7,N,0.19,1.08,0.1885551118,
LIB,6,C,11h,44,67,23,2,5,10.54,4.33,7.68,6.98,7.71,DNF,-0.03,0.7,0.2349994228,
LIB,7,A,11h,44,70,26,2,2,11.56,5.78,8.55,5.32,7.61,N,0.94,3.23,0.1993840205,
LIB,7,B,11h,44,68,24,2,7,11.47,7.49,8.1,6.17,7.46,N,0.64,1.93,0.2306111313,
LIB,7,C,11h,45,70,25,2,2,12.16,5.5,9.29,7.07,8.74,N,0.55,2.22,0.1564663646,
LIB,10,A,11h,44,65,21,2,9,12.33,6.41,8.7,6.81,7.6,N,1.1,1.89,0.2973675846,
LIB,10,B,11h,44,67,23,2,9,7.68,5.49,7.01,5.48,6.71,N,0.3,1.53,0.1389380347,
LIB,10,C,11h,44,66,22,2,7,10.54,7.55,7.71,6.17,6.95,N,0.76,1.54,0.2037788036,
LIB,11,A,11h,46,,,2,8,,,,,,DNF,,,0.2610955618,
LIB,11,B,11h,85,,,2,0,,,,,,DNF,,,,
LIB,11,C,11h,86,,,2,4,,,,,,DNF,,,0.2741844769,
LIB,12,A,11h,45,72,27,2,5,6.54,1.75,5.58,5.04,,Y,5.58,0.54,,
LIB,12,B,11h,45,72,27,2,1,8.24,3.87,6.5,5.76,7.62,Y,-1.12,0.74,0.1428155977,
LIB,12,C,11h,45,74,29,2,5,6.96,2.58,6.16,5.45,5.86,Y,0.3,0.71,0.1606030223,
LIB,13,A,11h,46,72,26,2,2,8.06,3.49,6.25,5.17,6.51,Y,-0.26,1.08,0.1538926843,
LIB,13,C,11h,44,69,25,2,24,10.42,7.33,6.47,6.36,8.4,Y,-1.93,0.11,0.1637948683,
OPN,1,A,11h,47,,,2,15,,,,,,DNF,,,0.144943584,
OPN,1,B,11h,48,,,2,15,,,,,,DNF,,,0.1886171866,
OPN,1,C,11h,48,,,2,10,,,,,,DNF,,,0.1836978866,
OPN,4,A,11h,44,74,30,2,4,8.04,2.71,6.35,5.76,6.84,Y,-0.49,0.59,0.2575412948,
OPN,4,B,11h,44,73,29,2,1,7.44,2.25,5.92,5.16,6.09,Y,-0.17,0.76,0.1562555158,
OPN,4,C,11h,58,,,2,10,,,,,,DNF,,,0.1558883509,
OPN,7,B,11h,49,,,2,10,,,,,,DNF,,,0.06902226082,
OPN,7,C,11h,51,,,2,14,,,,,,DNF,,,0.1819273426,
OPN,8,A,11h,44,,,2,10,,,,,,DNF,,,0.1337129279,
OPN,8,B,11h,44,,,2,11,,,,,,DNF,,,0.1753485226,
OPN,8,C,11h,44,,,2,11,,,,,,DNF,,,0.2144204029,
OPN,9,A,11h,47,73,26,2,5,8.8,2.15,7.98,6.93,5.96,Y,2.02,1.05,0.1650300403,
OPN,9,B,11h,47,73,26,2,3,8.9,2.1,7.45,6.81,5.91,Y,1.54,0.64,0.1841449949,
OPN,9,C,11h,47,,,2,13,,,,,,DNF,,,0.2012586993,
OPN,15,B,11h,45,,,2,10,,,,,,DNF,,,0.2393210222,
OPN,15,C,11h,45,73,28,2,4,6.1,1.64,5.31,4.25,7.24,Y,-1.93,1.06,0.1992797276,
OPN,16,A,11h,47,77,30,2,1,5.68,1.13,5.34,4.76,6.01,Y,-0.67,0.58,0.5018885979,
OPN,16,B,11h,49,,,2,10,,,,,,DNF,,,0.2000141975,
OPN,16,C,11h,49,,,2,11,,,,,,DNF,,,0.1916655965,
OPN,18,A,11h,47,,,2,10,,,,,,DNF,,,0.1901074267,
OPN,18,B,11h,49,,,2,13,,,,,,DNF,,,0.1100140072,
OPN,18,C,11h,49,,,2,6,,,,,,DNF,,,0.1612222405,
PETL,1,A,11h,46,80,34,2,4,6.65,1.33,5.12,4.44,5.48,Y,-0.36,0.68,0.1918720923,
PETL,1,B,11h,45,74,29,2,3,6.51,1.1,4.42,3.84,6.78,Y,-2.36,0.58,0.2146692426,
PETL,1,C,11h,44,77,33,2,3,7.84,3.39,6.91,5.01,8.38,N,-1.47,1.9,0.3491003734,
PETL,2,A,11h,44,,,2,10,,,,,,DNF,,,0.1428461491,
PETL,2,B,11h,44,,,2,12,,,,,,DNF,,,0.09719089317,
PETL,2,C,11h,45,,,2,2,,,,,,DNF,,,0.1624461722,
PETL,8,A,11h,44,77,33,2,13,9.8,4.03,7.32,6.15,8.5,N,-1.18,1.17,0.2644361059,
PETL,8,B,11h,44,67,23,2,2,11.58,6.32,8.68,7.93,8.5,N,0.18,0.75,0.1935768164,
PETL,8,C,11h,44,69,25,3,5,12.6,5.82,8.56,8.13,8.52,N,0.04,0.43,0.2720956463,
PETL,10,A,11h,44,74,30,2,5,9.24,2.02,8.04,7.14,7.51,Y,0.53,0.9,0.1294695272,
PETL,10,B,11h,45,72,27,2,12,10.7,3.08,8.84,7.99,8.6,Y,0.24,0.85,0.1528861884,
PETL,10,C,11h,45,69,24,2,18,11.93,5.02,8.18,7.24,9.95,Y,-1.77,0.94,0.3201528493,
PETL,14,A,11h,44,78,34,2,3,6.72,1.25,5.87,4.9,6.47,Y,-0.6,0.97,0.166057223,
PETL,14,C,11h,45,,,2,10,,,,,,DNF,,,0.1823867649,
QAL,4,B,11h,44,72,28,2,8,9.59,4.03,6.91,6.25,6.46,N,0.45,0.66,0.123396089,
QAL,4,C,11h,44,73,29,2,5,8.62,2.59,7.05,6.06,6.51,Y,0.54,0.99,0.08081737558,
QAL,16,A,11h,45,72,27,2,5,8.98,3.64,6.89,6.36,6.72,N,0.17,0.53,0.1591433058,
QAL,16,B,11h,44,72,28,2,4,9.31,3.99,6.66,5.78,7.24,N,-0.58,0.88,0.2168500423,
QAL,16,C,11h,44,73,29,2,7,8.9,2.58,7.48,6.6,7.23,Y,0.25,0.88,0.3261478412,
SBL,1,A,11h,45,73,28,2,17,10.59,4.48,7.61,6.74,6.93,N,0.68,0.87,0.3069999072,
SBL,1,B,11h,45,72,27,2,13,9.76,4.92,7.87,7.17,6.36,N,1.51,0.7,0.3009461182,
SBL,2,A,11h,44,71,27,2,13,11.3,5.32,7.97,7.2,7.61,N,0.36,0.77,0.1425377673,
SBL,3,A,11h,44,69,25,2,6,11.21,7.53,9.05,6.08,7.25,N,1.8,2.97,0.2141052028,
SBL,3,B,11h,44,68,24,2,6,8.11,5.72,6.15,5.74,6.65,N,-0.5,0.41,0.1297257616,
SBL,3,C,11h,46,76,30,2,14,9.68,3.24,8.23,7.11,8.29,Y,-0.06,1.12,0.2707964924,
SBL,4,A,11h,45,72,27,2,12,8.7,4.4,7.55,6.53,7.27,N,0.28,1.02,0.2049157786,
SBL,4,B,11h,44,72,28,2,21,10.8,5.95,8.33,7.25,6.9,N,1.43,1.08,0.2257848414,
SBL,4,C,11h,45,68,23,3,20,12.8,4.35,8.39,6.35,10.07,N,-1.68,2.04,0.3232125616,
SBL,5,A,11h,44,70,26,2,43,14.69,7.69,9.11,7.7,10.49,N,-1.38,1.41,0.15920041,
SBL,5,B,11h,44,71,27,2,10,10.99,6.11,8.5,7.55,8.1,N,0.4,0.95,0.1641600869,
SBL,5,C,11h,44,70,26,2,28,13.07,5.61,8.34,5.64,10.31,N,-1.97,2.7,0.1906874551,
SBL,6,A,11h,44,72,28,2,6,8.74,3.28,6.79,6,7.31,Y,-0.52,0.79,0.09102418871,
SBL,6,B,11h,45,77,32,2,9,11.08,4.73,8.62,6.19,7.59,N,1.03,2.43,0.2958942632,
SBL,6,C,11h,45,76,31,2,19,13,7.68,10.77,8.34,11.36,N,-0.59,2.43,0.2411393499,
SBL,7,A,11h,45,72,27,2,6,8.6,2.43,7.27,6.14,6.08,Y,1.19,1.13,0.1429046325,
SBL,7,B,11h,45,70,25,2,7,9.49,3.01,7.61,6.5,6.9,Y,0.71,1.11,0.1139334015,
SBL,7,C,11h,44,72,28,2,16,9.96,5.34,7.94,6.99,8.01,N,-0.07,0.95,0.1852125119,
SBL,9,A,11h,45,76,31,2,21,13.77,6.45,11.11,10.32,12.06,Y,-0.95,0.79,0.3434092214,
SBL,9,B,11h,45,78,33,2,3,7.52,2.04,6.34,5.57,5.81,Y,0.53,0.77,0.1909517408,
SBL,9,C,11h,45,72,27,2,7,7.75,1.96,6.88,6.2,6.57,Y,0.31,0.68,0.1147502904,
SHL,38,A,11h,45,,,2,7,,,,,,DNF,,,0.07790282734,
SHL,38,B,11h,45,,,2,8,,,,,,DNF,,,0.2279103725,
SHL,38,C,11h,44,,,2,15,,,,,,DNF,,,0.08839695909,
SHL,9,A,11h,45,,,2,12,,,,,,DNF,,,0.1410642357,
SHL,9,B,11h,45,,,2,7,,,,,,DNF,,,0.05315711333,
SHL,9,C,11h,45,,,2,7,,,,,,DNF,,,0.2917334153,
SHL,10,A,11h,44,77,33,2,9,6.88,2.58,6.27,5.2,6.21,N,0.06,1.07,0.3097079409,
SHL,10,B,11h,44,74,30,2,4,8.17,3,6.66,5.87,7.08,N,-0.42,0.79,0.3308916948,
SHL,10,C,11h,45,72,27,2,2,9.29,5.39,7.38,6.39,7.22,N,0.16,0.99,0.2571809737,
SHL,12,B,11h,44,80,36,2,2,6.28,1.93,5.18,4.56,5.7,Y,-0.52,0.62,0.0555227882,
SHL,12,C,11h,45,,,2,10,,,,,,DNF,,,0.2068746853,
SHL,1,A,11h,44,68,24,2,17,7.04,4.82,6.57,5.45,6.67,N,-0.1,1.12,0.3205035451,
SHL,1,B,11h,44,67,23,2,4,9.61,5.78,7.55,6.35,6.82,N,0.73,1.2,0.1909025339,
SHL,1,C,11h,45,74,29,2,3,9.04,5.3,6.87,6.11,7.01,N,-0.14,0.76,0.3274076582,
SHL,2,A,11h,45,,,2,6,,,,,,DNF,,,0.06685508736,
SHL,2,B,11h,45,,,2,14,,,,,,DNF,,,0.2483592933,
SHL,2,C,11h,44,72,28,2,1,8.43,4.16,7.16,6.33,6.69,Y,0.47,0.83,0.1257997172,
SHL,3,A,11h,45,,,2,,,,,,,DNF,,,0.2697160303,
SHL,3,B,11h,45,,,2,,,,,,,DNF,,,0.2353701855,
SHL,3,C,11h,44,70,26,2,11,9.05,4.76,7.6,5.43,7.93,Y,-0.33,2.17,0.2799973232,
SHL,4,A,11h,44,68,24,2,7,12.44,7.71,8.52,7.33,8.94,N,-0.42,1.19,0.1117785883,
SHL,4,B,11h,44,72,28,2,1,9.98,5.74,7.27,6.81,7.56,N,-0.29,0.46,0.1480796463,
SHL,4,C,11h,44,73,29,2,1,8.75,3.99,7.07,5.82,7.62,N,-0.55,1.25,0.1772655008,
SHL,5,A,11h,46,,,2,7,,,,,,DNF,,,0.1027037208,
SHL,5,B,11h,55,,,2,8,,,,,,DNF,,,0.0728641011,
SHL,5,C,11h,47,,,2,10,,,,,,DNF,,,0.08012839565,
SHL,6,A,11h,45,,,2,13,,,,,,DNF,,,0.1494841286,
SHL,6,B,11h,46,74,28,2,3,8.11,5,6.52,5.71,6.8,N,-0.28,0.81,0.3242325377,
SHL,6,C,11h,46,87,41,2,2,6.42,2.35,5.33,4.84,5.33,Y,0,0.49,0.239985999,
SNB2,1,B,11h,44,74,30,2,3,7.6,1.51,6.46,5.6,7.07,N,-0.61,0.86,0.07392060731,
SNB2,1,C,11h,44,,,2,3,,,,,,DNF,,,0.1023360268,
TIGR,28,A,11h,44,74,30,2,4,10.44,5.73,7.71,6.67,7.57,N,0.14,1.04,0.2888046249,
TIGR,28,B,11h,44,66,22,2,6,8.99,2.64,7.12,6.44,6.84,N,0.28,0.68,0.3205726357,
TIGR,28,C,11h,44,67,23,2,3,9.79,4.98,7.33,5.98,7.31,N,0.02,1.35,0.2223954303,
TRT,1,A,11h,45,79,34,2,1,7.92,3.81,6.23,5.7,7.67,N,-1.44,0.53,0.2215676807,
TRT,1,B,11h,47,,,2,6,,,,,,DNF,,,0.08833840924,
TRT,1,C,11h,45,,,2,14,,,,,,DNF,,,0.1209922586,
TRT,2,A,11h,45,80,35,2,3,7.07,2.79,5.32,4.866,5.7,Y,-0.38,0.454,0.2564178123,
TRT,2,B,11h,44,,,2,12,,,,,,DNF,,,0.105194339,
TRT,2,C,11h,45,,,2,12,,,,,,DNF,,,0.1193599045,
TRT,4,A,11h,47,,,2,20,,,,,,DNF,,,0.1634350197,
TRT,4,B,11h,52,,,2,6,,,,,,DNF,,,0.1597062072,
TRT,4,C,11h,46,77,31,2,4,6.23,1.38,5.43,4.05,5.62,Y,-0.19,1.38,0.1638581668,
TRT,6,B,11h,46,78,32,2,2,6.41,1.01,4.72,4.31,6.81,Y,-2.09,0.41,0.06206670029,
TRT,6,C,11h,44,77,33,2,6,6.79,1.55,6.28,4.99,7.42,N,-1.14,1.29,0.2296689045,
TRT,11,A,11h,47,79,32,2,2,6.85,1.86,4.62,4.48,5.01,Y,-0.39,0.14,0.1704010045,
TRT,11,B,11h,47,,,2,9,,,,,,DNF,,,0.08806880633,
TRT,11,C,11h,46,77,31,2,3,5.54,1.26,5.13,4.23,3.73,Y,1.4,0.9,0.269557443,
WCL,3,A,11h,45,65,20,2,15,10.75,6.15,8.4,7.16,8.74,N,-0.34,1.24,0.07493631703,
WCL,3,B,11h,44,65,21,2,13,9.97,4.95,8.23,7.16,8.52,N,-0.29,1.07,0.05891870977,
WCL,3,C,11h,44,64,20,2,38,10.75,6.83,9.08,8.83,9.73,N,-0.65,0.25,0.08670013306,
WCL,9,A,11h,44,65,21,2,27,11.77,5.99,8.5,7.27,9,N,-0.5,1.23,0.1970512316,
WCL,9,B,11h,44,64,20,2,42,12.45,6.22,8.5,6.95,9.1,N,-0.6,1.55,0.1546240017,
WCL,9,C,11h,44,64,20,2,48,12.17,7.21,7.6,6.91,8.71,N,-1.11,0.69,0.1747212523,
WCL,10,A,11h,44,66,22,2,7,10.68,7.43,8.04,7.2,9.81,N,-1.77,0.84,0.1891953176,
WCL,10,B,11h,45,67,22,2,2,12.25,7.93,9.28,7.88,9.82,N,-0.54,1.4,0.159643466,
WCL,10,C,11h,45,67,22,2,8,11.78,7.7,8.9,7.48,9.65,N,-0.75,1.42,0.1362966906,
WCL,11,A,11h,44,65,21,2,16,14.17,10.13,8.31,7.54,9.58,N,-1.27,0.77,0.1950670907,
WCL,11,B,11h,44,65,21,2,8,12.08,8.39,8.16,7.17,9.39,N,-1.23,0.99,0.164994985,
WCL,11,C,11h,45,66,21,2,10,12.55,7.26,8.19,6.99,8.11,N,0.08,1.2,0.1586913096,
WCL,13,A,11h,44,70,26,2,13,11.3,6.02,8.24,6.92,7.92,N,0.32,1.32,0.1470051825,
WCL,13,B,11h,44,68,24,2,20,14.56,7.94,8.26,6.83,11.72,N,-3.46,1.43,0.2063671352,
WCL,13,C,11h,44,70,26,2,21,12.34,8.48,9.32,6.75,11.21,N,-1.89,2.57,0.1729092472,
WCL,8,A,11h,44,64,20,2,41,12.42,9.24,8.56,7.71,9.93,N,-1.37,0.85,0.1448336054,
WCL,8,B,11h,44,64,20,2,33,12.82,8.07,8.19,7.24,9.25,N,-1.06,0.95,0.1244858668,
WCL,8,C,11h,44,64,20,2,43,13.13,8.11,9.35,8.46,10.15,N,-0.8,0.89,0.1402072298,
WLF,47,A,11h,44,73,29,2,3,6.68,1.8,5.13,4.53,6.51,Y,-1.38,0.6,0.2935788462,
WLF,47,B,11h,44,71,27,2,2,7.53,2.31,6,5.12,6.55,Y,-0.55,0.88,0.08869729426,
WLF,47,C,11h,44,73,29,2,1,7.5,2.8,6.08,5.6,6.77,Y,-0.69,0.48,0.2988067439,
WLF,60,A,11h,61,,,2,7,,,,,,DNF,,,0.1545940265,
WLF,60,B,11h,61,,,2,10,,,,,,DNF,,,0.1542471848,
WLF,60,C,11h,61,,,2,10,,,,,,DNF,,,0.2121131976,
WLF,61,A,11h,45,67,22,2,7,13.34,10.41,9.15,8.11,9.52,N,-0.37,1.04,0.156818791,
WLF,61,B,11h,45,65,20,2,13,14.12,9.04,8.74,7.75,9.79,N,-1.05,0.99,0.1317429506,
WLF,61,C,11h,47,72,25,2,3,13.06,8.28,8.09,7.53,8.22,N,-0.13,0.56,0.132790327,
WLF,62,A,11h,65,,,2,10,,,,,,DNF,,,0.1872549461,
WLF,72,A,11h,62,,,2,9,,,,,,DNF,,,0.1225276256,
WLF,72,B,11h,65,,,2,3,,,,,,DNF,,,0.1720214844,
WLF,72,C,11h,60,,,2,3,,,,,,DNF,,,0.1480809912,
WLF,63,A,11h,61,,,2,16,,,,,,DNF,,,,
WUV,35,B,11h,44,73,29,2,10,9.68,2.76,7.71,6.5,7.6,N,0.11,1.21,0.2131100615,
YCN,1,A,11h,44,78,34,2,3,7.62,1.47,6.75,6.15,5.33,Y,1.42,0.6,0.0902038158,
YCN,1,B,11h,44,,,2,15,,,,,,DNF,,,0.09014149118,
YCN,1,C,11h,44,72,28,2,3,11.09,5.47,9.43,8.21,7.18,N,2.25,1.22,0.2431734583,
YCN,2,A,11h,44,73,29,2,15,10.47,3.33,8.13,7.41,8.22,Y,-0.09,0.72,0.1979606355,
YCN,2,B,11h,44,73,29,2,5,9.03,1.98,8.1,7.01,7.29,Y,0.81,1.09,0.1020115464,
YCN,2,C,11h,44,66,22,2,8,11.24,5.12,8.34,7.53,7.55,N,0.79,0.81,0.1082544115,
YCN,9,A,11h,48,,,2,6,,,,,,DNF,,,0.09366265319,
YCN,9,B,11h,47,,,2,10,,,,,,DNF,,,0.08749948651,
YCN,9,C,11h,52,,,2,3,,,,,,DNF,,,0.1880293501,
YCN,12,A,11h,47,,,2,10,,,,,,DNF,,,0.242303565,
YCN,12,B,11h,52,,,2,10,,,,,,DNF,,,0.1288852295,
YCN,12,C,11h,48,,,2,15,,,,,,DNF,,,,
YCN,13,A,11h,47,,,2,10,,,,,,DNF,,,0.05838429353,
YCN,13,B,11h,49,,,2,10,,,,,,DNF,,,0.09587576661,
YCN,13,C,11h,49,,,2,8,,,,,,DNF,,,0.1434039042,